Year,State,Govt_School,Pvt_School,Other_School,Out_of_School,Total_Enrol,Girls_Enrol,PTR,SCR,common_or_boys_toilet,Girls_Toilet,Drinking_Water,Child_Read_Nothing,Child_Read_Highest_Letter,Child_Read_Highest_Word,Child_Read_Highest_Std1text,Child_Read_Highest_Std2text,Child_Math_Nothing,Child_Math_Highest_Number1to9,Child_Math_Highest_Number11to99,Child_Math_Highest_Subtraction,Child_Math_Highest_Division
2007,Tamil Nadu,0.811,0.1601,0.002,0.0268,9776589,0.483,27,25,0.608,0.601,1,0.1031,0.1102,0.1707,0.1942,0.4217,0.0857,0.096,0.2476,0.2852,0.2854
2007,Punjab,0.625,0.3232,0.0077,0.0441,2702272,0.459,32,26,0.867,0.809,0.98,0.0363,0.1279,0.1492,0.1449,0.5418,0.0461,0.1429,0.1398,0.1995,0.4717
2007,Uttar Pradesh,0.631,0.2998,0.0147,0.0545,32162514,0.485,53,46,0.879,0.782,0.977,0.1235,0.1989,0.157,0.1338,0.3867,0.1341,0.2234,0.1954,0.176,0.2711
2007,Pondicherry,0.7675,0.2058,0.001,0.0258,179739,0.482,24,24,0.674,0.849,0.969,0.0495,0.1365,0.1833,0.209,0.4217,0.067,0.1135,0.2191,0.2787,0.3217
2007,Kerala,0.4338,0.5536,0.0051,0.0076,3401987,0.49,27,25,0.814,0.769,0.967,0.0177,0.0758,0.1254,0.1167,0.6643,0.0163,0.0776,0.1994,0.2663,0.4404
2007,Goa,0.6059,0.3874,0.0016,0.0051,164963,0.475,24,25,0.527,0.423,0.958,0.0093,0.0529,0.1014,0.1514,0.685,0.0147,0.0718,0.107,0.1813,0.6252
2007,Haryana,0.5825,0.3615,0.0048,0.0511,2492009,0.476,32,27,0.703,0.762,0.939,0.0704,0.1182,0.1191,0.1199,0.5723,0.0685,0.1157,0.1359,0.1631,0.5167
2007,Himachal Pradesh,0.7519,0.2319,0.001,0.0152,1081599,0.472,18,17,0.469,0.366,0.929,0.0217,0.0943,0.1059,0.1226,0.6555,0.019,0.0914,0.1463,0.2024,0.5409
2007,Daman & Diu,0.7508,0.2188,0.0016,0.0288,20858,0.478,33,42,0.814,0.419,0.907,0.0396,0.1043,0.1695,0.1632,0.5234,0.0284,0.128,0.2118,0.2122,0.4196
2007,Bihar,0.8316,0.0733,0.0214,0.0738,15120547,0.452,64,91,0.467,0.162,0.902,0.1081,0.167,0.1601,0.1328,0.4319,0.1226,0.1569,0.1497,0.1779,0.3928
