State,Region
Andhra Pradesh & Telengana,South
Arunachal Pradesh,North East
Assam,North East
Bihar,East 
Chhattisgarh,Central
Dadra & Nagar Haveli,Union Territory
Daman & Diu,Union Territory
Goa,West
Gujarat,West
Haryana,North 
Himachal Pradesh,North
Jammu & Kashmir,North
Jharkhand,East 
Karnataka,South
Kerala,South
Madhya Pradesh,Central
Maharashtra,West
Manipur,North East
Meghalaya,North East
Mizoram,North East
Nagaland,North East
Odisha,East 
Pondicherry,South
Punjab,North
Rajasthan,West
Sikkim,North East
Tamil Nadu,South
Tripura,North East
Uttar Pradesh,North
Uttarakhand,North
West Bengal,East 
